File Name,Top Left,Top Right,Bottom Right,Bottom Left,Has Text
picture2-2-8.png,"(194, 554)","(264, 553)","(264, 622)","(195, 621)",0
picture2-2-9.png,"(195, 621)","(264, 622)","(264, 688)","(195, 690)",0
picture2-2-10.png,"(195, 690)","(264, 688)","(264, 757)","(195, 758)",1
picture2-2-11.png,"(195, 758)","(264, 757)","(263, 827)","(192, 828)",1
picture2-2-12.png,"(192, 828)","(263, 827)","(262, 897)","(192, 898)",1
picture2-2-13.png,"(192, 898)","(262, 897)","(261, 968)","(191, 969)",1
picture2-2-14.png,"(191, 969)","(261, 968)","(261, 1040)","(190, 1042)",0
picture2-2-15.png,"(190, 1042)","(261, 1040)","(259, 1114)","(189, 1115)",0
picture2-2-16.png,"(189, 1115)","(259, 1114)","(260, 1187)","(188, 1187)",0
picture2-2-17.png,"(188, 1187)","(260, 1187)","(259, 1260)","(189, 1261)",0
picture2-2-18.png,"(189, 1261)","(259, 1260)","(261, 1331)","(190, 1332)",0
picture2-3-0.png,"(263, 27)","(326, 28)","(329, 92)","(262, 91)",0
picture2-3-1.png,"(262, 91)","(329, 92)","(329, 157)","(262, 156)",0
picture2-3-2.png,"(262, 156)","(329, 157)","(329, 222)","(262, 222)",0
picture2-3-3.png,"(262, 222)","(329, 222)","(329, 288)","(263, 287)",1
picture2-3-4.png,"(263, 287)","(329, 288)","(331, 354)","(263, 354)",1
picture2-3-5.png,"(263, 354)","(331, 354)","(331, 420)","(263, 420)",1
picture2-3-6.png,"(263, 420)","(331, 420)","(332, 487)","(263, 487)",1
picture2-3-7.png,"(263, 487)","(332, 487)","(331, 552)","(264, 553)",0
picture2-3-8.png,"(264, 553)","(331, 552)","(332, 621)","(264, 622)",1
picture2-3-9.png,"(264, 622)","(332, 621)","(332, 688)","(264, 688)",0
picture2-3-10.png,"(264, 688)","(332, 688)","(332, 756)","(264, 757)",1
picture2-3-11.png,"(264, 757)","(332, 756)","(332, 825)","(263, 827)",1
picture2-3-12.png,"(263, 827)","(332, 825)","(332, 895)","(262, 897)",1
picture2-3-13.png,"(262, 897)","(332, 895)","(332, 966)","(261, 968)",1
picture2-3-14.png,"(261, 968)","(332, 966)","(331, 1039)","(261, 1040)",0
picture2-3-15.png,"(261, 1040)","(331, 1039)","(331, 1112)","(259, 1114)",0
picture2-3-16.png,"(259, 1114)","(331, 1112)","(330, 1185)","(260, 1187)",0
picture2-3-17.png,"(260, 1187)","(330, 1185)","(331, 1258)","(259, 1260)",0
picture2-3-18.png,"(259, 1260)","(331, 1258)","(333, 1331)","(261, 1331)",0
picture2-4-0.png,"(326, 28)","(396, 29)","(395, 93)","(329, 92)",0
picture2-4-1.png,"(329, 92)","(395, 93)","(396, 158)","(329, 157)",1
picture2-4-2.png,"(329, 157)","(396, 158)","(396, 223)","(329, 222)",0
picture2-4-3.png,"(329, 222)","(396, 223)","(397, 289)","(329, 288)",1
picture2-4-4.png,"(329, 288)","(397, 289)","(398, 355)","(331, 354)",1
picture2-4-5.png,"(331, 354)","(398, 355)","(398, 421)","(331, 420)",1
picture2-4-6.png,"(331, 420)","(398, 421)","(398, 486)","(332, 487)",1
picture2-4-7.png,"(332, 487)","(398, 486)","(399, 550)","(331, 552)",0
picture2-4-8.png,"(331, 552)","(399, 550)","(400, 620)","(332, 621)",1
picture2-4-9.png,"(332, 621)","(400, 620)","(400, 687)","(332, 688)",0
picture2-4-10.png,"(332, 688)","(400, 687)","(400, 756)","(332, 756)",1
